longitude,latitude
5.2515,51.5455
5.2515,51.5455
5.3015,51.5436
5.3515,51.5417
5.4014,51.5397
5.4514,51.5378
5.4514,51.5378
5.5013,51.5358
5.5513,51.5338
5.6512,51.5297
5.6512,51.5297
5.7510,51.5256
5.8009,51.5235
5.8508,51.5213
5.8508,51.5213
5.9007,51.5192
5.9506,51.5170
6.0005,51.5148
6.0504,51.5126
6.1003,51.5103
6.1501,51.5080
6.2000,51.5057
6.2000,51.5057
6.2499,51.5034
6.2998,51.5011
6.3496,51.4987
6.3994,51.4963
6.4493,51.4939
6.4991,51.4915
6.5490,51.4890
6.5988,51.4865
6.5988,51.4865
6.6486,51.4840
6.6985,51.4815
6.7483,51.4790
6.7981,51.4764
6.8478,51.4738
6.8976,51.4712
6.9474,51.4685
6.9973,51.4659
6.9973,51.4659
7.0470,51.4632
7.0968,51.4605
7.1466,51.4577
7.1466,51.4577
7.1963,51.4550
7.2460,51.4522
7.2958,51.4494
7.2958,51.4494
7.3455,51.4466
7.3953,51.4437
7.4450,51.4409
7.4450,51.4409
7.4948,51.4380
7.5445,51.4351
7.5942,51.4321
7.6438,51.4291
7.6438,51.4291
7.6935,51.4262
7.7432,51.4232
7.7929,51.4201
7.7929,51.4201
7.8426,51.4171
7.8922,51.4140
7.9419,51.4109
7.9419,51.4109
7.9916,51.4078
8.0412,51.4046
8.0909,51.4015
8.0909,51.4015
8.1405,51.3983
8.1902,51.3951
8.2398,51.3918
8.2398,51.3918
8.2894,51.3886
8.3390,51.3853
8.3886,51.3820
8.4381,51.3787
8.4381,51.3787
8.4877,51.3753
8.5373,51.3719
8.5373,51.3719
8.5868,51.3685
8.6364,51.3651
8.6860,51.3617
8.6860,51.3617
8.7355,51.3582
8.7850,51.3547
8.8345,51.3512
8.8345,51.3512
8.8840,51.3477
8.9336,51.3441
8.9831,51.3406
8.9831,51.3406
9.0325,51.3370
9.0820,51.3333
9.1314,51.3297
9.1314,51.3297
9.1809,51.3260
9.2303,51.3223
9.2798,51.3186
9.2798,51.3186
9.3292,51.3149
9.3787,51.3111
9.3787,51.3111
9.4281,51.3074
9.4775,51.3036
9.5270,51.2997
9.5270,51.2997
9.5764,51.2959
9.6257,51.2920
9.6751,51.2881
9.6751,51.2881
9.7245,51.2842
9.7738,51.2803
9.8232,51.2763
9.8232,51.2763
9.8725,51.2723
9.9218,51.2683
9.9712,51.2643
9.9712,51.2643
10.0205,51.2602
10.0698,51.2562
10.1191,51.2521
10.1191,51.2521
10.1684,51.2479
10.2177,51.2438
10.2177,51.2438
10.2670,51.2396
10.3163,51.2354
10.3655,51.2312
10.3655,51.2312
10.4148,51.2270
10.4640,51.2228
10.5132,51.2185
10.5132,51.2185
10.5625,51.2142
10.6117,51.2099
10.6608,51.2055
10.6608,51.2055
10.7100,51.2011
10.7592,51.1968
10.8084,51.1923
10.8084,51.1923
10.8575,51.1879
10.9067,51.1835
10.9558,51.1790
10.9558,51.1790
11.0050,51.1745
11.0541,51.1700
11.1032,51.1654
11.1032,51.1654
11.1523,51.1608
11.2014,51.1562
11.2505,51.1516
11.2505,51.1516
11.2996,51.1470
11.3487,51.1423
11.3487,51.1423
11.3977,51.1377
11.4467,51.1330
11.4957,51.1282
11.4957,51.1282
11.5447,51.1235
11.5937,51.1187
11.6427,51.1139
11.6427,51.1139
11.6917,51.1091
11.7407,51.1043
11.7896,51.0994
11.7896,51.0994
11.8386,51.0945
11.8875,51.0896
11.9364,51.0847
11.9364,51.0847
11.9853,51.0798
12.0342,51.0748
12.0831,51.0698
12.0831,51.0698
12.1320,51.0648
12.1809,51.0598
12.1809,51.0598
12.2298,51.0547
12.2786,51.0496
12.3275,51.0445
12.3275,51.0445
12.3763,51.0394
12.4251,51.0343
12.4740,51.0291
12.4740,51.0291
12.5228,51.0239
12.5716,51.0187
12.6203,51.0134
12.6203,51.0134
12.6691,51.0082
12.7178,51.0029
12.7666,50.9976
12.7666,50.9976
12.8153,50.9923
12.8640,50.9869
12.9128,50.9816
12.9128,50.9816
12.9614,50.9762
13.0101,50.9708
13.0101,50.9708
13.0588,50.9653
13.1074,50.9599
13.1561,50.9544
13.1561,50.9544
13.2047,50.9489
13.2534,50.9434
13.3020,50.9378
13.3020,50.9378
13.3506,50.9323
13.3992,50.9267
13.4478,50.9211
13.4478,50.9211
13.4963,50.9154
13.5448,50.9098
13.5934,50.9041
13.5934,50.9041
13.6419,50.8984
13.6904,50.8927
13.7389,50.8869
13.7389,50.8869
13.7874,50.8812
13.8359,50.8754
13.8843,50.8696
13.8843,50.8696
13.9328,50.8638
13.9812,50.8579
14.0296,50.8520
14.0296,50.8520
14.0781,50.8461
14.1264,50.8402
14.1748,50.8343
14.1748,50.8343
14.2232,50.8283
14.2716,50.8223
14.2716,50.8223
14.3199,50.8163
14.3682,50.8103
14.4166,50.8043
14.4166,50.8043
14.4649,50.7982
14.5132,50.7921
14.5615,50.7860
14.5615,50.7860
